index,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,q
42,1.30999755859375,160,0,150,154,512,504,564.490661663902,342.695870330156,622.830109441711,463.354588263152,0.900734250332067
43,1.3399658203125,160,0,151,154,511,502,564.563248671523,342.731665068915,623.28468364285,462.888429228509,0.909144700209762
44,1.3699951171875,160,0,150,154,512,500,564.490661663902,342.695870330156,622.830109441711,463.354588263152,0.900734250332067
45,1.39996337890625,160,0,151,155,513,502,564.490661663902,342.695870330156,622.830109441711,463.354588263152,0.900734250332067
46,1.43994140625,160,0,151,154,513,503,564.490661663902,342.695870330156,622.830109441711,463.354588263152,0.900734250332067
47,1.469970703125,160,0,150,154,511,503,564.490661663902,342.695870330156,622.830109441711,463.354588263152,0.900734250332067
48,1.5,160,0,151,155,509,504,564.563248671523,342.731665068915,623.10775105397,463.046978555366,0.905728026441097
49,1.52996826171875,160,0,151,155,511,505,564.331066684848,342.763926080518,622.422936278845,463.14524941334,0.899205910874083
50,1.55999755859375,160,0,150,154,513,504,564.331066684848,342.763926080518,622.422936278845,463.14524941334,0.899205910874083
51,1.5899658203125,160,0,152,155,512,505,564.331066684848,342.763926080518,621.661159992427,463.501934210609,0.886620122438717
52,1.6199951171875,160,0,152,155,512,505,564.331066684848,342.763926080518,622.223198747189,463.406801937759,0.894818320896368
53,1.64996337890625,160,0,150,155,513,504,564.331066684848,342.763926080518,622.819554754466,462.812627709166,0.906720788861265
54,1.68994140625,160,0,151,155,514,504,564.258596518318,342.728170544229,623.003995306311,462.704076012442,0.910655956070567
55,1.719970703125,160,0,152,155,513,506,564.258596518318,342.728170544229,622.422409037526,463.097253142066,0.90025483952118
56,1.75,160,0,150,154,514,506,564.258596518318,342.728170544229,622.032220495788,463.502919593791,0.892369952734231
57,1.77996826171875,160,0,152,155,514,505,564.331066684848,342.763926080518,622.417010226727,463.192486181358,0.898818990342764
58,1.80999755859375,160,0,151,155,515,506,564.258596518318,342.728170544229,622.819554754466,462.812627709166,0.907461623512762
59,1.8399658203125,160,0,149,155,513,505,564.331066684848,342.763926080518,622.819554754466,462.812627709166,0.906720788861265
60,1.8699951171875,160,0,151,155,513,505,564.258596518318,342.728170544229,622.422936278845,463.14524941334,0.899949631919346
61,1.89996337890625,160,0,152,155,516,505,564.335929048344,342.754523526955,622.223198747189,463.406801937759,0.894692008293079
62,1.93994140625,160,0,150,154,515,506,564.258596518318,342.728170544229,622.448306253491,463.064739293619,0.900815392290576
63,1.969970703125,160,0,152,155,514,506,564.258596518318,342.728170544229,622.448306253491,463.064739293619,0.900815392290576
64,2,160,0,150,154,513,504,564.258596518318,342.728170544229,622.819554754466,462.812627709166,0.907461623512762
65,2.02996826171875,160,0,150,154,516,506,564.258596518318,342.728170544229,622.746826041497,462.834855346208,0.906337103371072
66,2.05999755859375,160,0,152,155,516,505,564.258596518318,342.728170544229,622.422409037526,463.097253142066,0.90025483952118
67,2.0899658203125,160,0,151,155,514,505,564.331066684848,342.763926080518,622.288972217848,463.307440017428,0.896347805071338
68,2.1199951171875,160,0,151,154,512,509,564.258596518318,342.728170544229,622.630820513478,463.035985266346,0.903460149182781
69,2.14996337890625,160,0,152,155,513,509,564.552715758426,342.725979631416,623.056765828237,462.87158724827,0.906294937647643
70,2.18994140625,160,0,151,155,514,509,564.552715758426,342.725979631416,623.056765828237,462.87158724827,0.906294937647643
71,2.219970703125,160,0,151,154,516,508,564.480173099734,342.690216378163,622.73205845306,463.134240536823,0.900952860099983
72,2.25,160,0,152,156,515,507,564.480173099734,342.690216378163,622.726680703231,463.229556531476,0.900260550283362
73,2.27996826171875,160,0,150,154,516,506,564.480173099734,342.690216378163,622.98346696194,462.932974850129,0.90564862612994
74,2.30999755859375,160,0,150,154,515,505,564.480173099734,342.690216378163,623.146433351057,462.780868102671,0.908837293295924
75,2.3399658203125,160,0,152,155,514,506,564.480173099734,342.690216378163,623.004296869517,462.922257350729,0.905998905694671
76,2.3699951171875,160,0,150,155,514,505,564.480173099734,342.690216378163,622.749887045196,463.152221857527,0.901075731822795
77,2.39996337890625,160,0,152,155,515,504,564.480173099734,342.690216378163,622.73205845306,463.134240536823,0.900952860099983
78,2.42999267578125,160,0,151,155,515,507,564.480173099734,342.690216378163,622.73205845306,463.134240536823,0.900952860099983
79,2.469970703125,160,0,150,154,517,508,564.459058993435,342.67780318401,623.004296869517,462.922257350729,0.906201563589161
80,2.5,160,0,151,154,515,508,564.480173099734,342.690216378163,623.129570064996,462.849334018838,0.908161130333036
81,2.52996826171875,160,0,151,155,513,508,564.480173099734,342.690216378163,622.98346696194,462.932974850129,0.90564862612994
82,2.55999755859375,160,0,150,154,515,509,564.480173099734,342.690216378163,622.790371067874,463.035910204463,0.902378258841102
83,2.5899658203125,160,0,152,155,517,508,564.552715758426,342.725979631416,622.830723751202,463.067449114785,0.901972504435238
84,2.6199951171875,160,0,152,155,516,507,564.480173099734,342.690216378163,623.004296869517,462.922257350729,0.905998905694671
85,2.64996337890625,160,0,150,154,518,507,564.480173099734,342.690216378163,623.129570064996,462.849334018838,0.908161130333036
86,2.67999267578125,160,0,152,155,517,507,564.480173099734,342.690216378163,622.98346696194,462.932974850129,0.90564862612994
87,2.7099609375,160,0,152,154,516,507,564.552715758426,342.725979631416,622.845919499836,463.056787522789,0.902246586023495
88,2.75,160,0,149,153,516,506,564.552715758426,342.725979631416,622.922141924022,462.976239081649,0.903798405281094
89,2.77996826171875,160,0,151,155,516,507,564.54674303064,342.831681761003,623.227805241548,463.194778206281,0.907249801703701
90,2.80999755859375,160,0,151,155,514,506,564.619356722968,342.867516280686,623.227805241548,463.194778206281,0.906509132279356
91,2.8399658203125,160,0,150,153,514,506,564.54674303064,342.831681761003,623.154456051226,463.256200774042,0.905863274162437
92,2.8699951171875,160,0,152,155,516,508,564.54674303064,342.831681761003,623.031870704007,463.244474794755,0.904293128590606
93,2.89996337890625,160,0,151,155,518,509,564.54674303064,342.831681761003,623.094191753632,463.201284192872,0.905412689846213
94,2.92999267578125,160,0,150,154,516,508,564.54674303064,342.831681761003,623.094191753632,463.201284192872,0.905412689846213
95,2.9599609375,160,0,151,155,515,508,564.54674303064,342.831681761003,623.227805241548,463.194778206281,0.907249801703701
96,3,160,0,152,155,516,509,564.619356722968,342.867516280686,623.227805241548,463.194778206281,0.906509132279356
97,3.02996826171875,160,0,150,154,520,508,564.54674303064,342.831681761003,623.154456051226,463.256200774042,0.905863274162437
98,3.05999755859375,0,0,152,154,517,508,564.619356722968,342.867516280686,623.093085405966,463.299483306292,0.904014804510272
